Group,Temp ID,Animal ID,Sex,Code,Day,9,12,15,19,22,26,29,33,36
14,72,72,F,D,24,69.99,91.56,127.53,245.96,363.74,,,,
14,118,118,F,D,21,45.73,86.80,65.24,66.28,,,,,
14,122,122,F,TS,36,79.28,126.52,124.93,267.49,259.57,344.12,399.38,757.01,909.08
14,124,124,F,D,33,60.76,128.96,195.92,340.62,404.84,518.10,536.06,,
14,134,134,F,MOS,33,53.25,81.48,90.54,213.42,197.92,191.04,294.77,,
14,149,149,F,D,21,58.15,49.90,49.27,47.30,,,,,
14,252,252,F,TS,36,53.96,81.75,69.27,165.45,300.50,328.35,425.74,703.45,805.26
14,253,253,F,D,36,88.81,88.14,90.48,101.64,110.12,95.96,162.13,159.46,
15,15,15,F,TS,36,57.98,93.95,122.81,375.74,389.21,569.70,1028.84,1321.87,1832.03
15,21,21,F,TS,36,78.08,113.92,80.45,197.86,231.84,369.45,525.56,782.26,1216.63
15,51,51,F,TS,36,54.16,95.17,117.18,206.93,285.15,316.95,663.97,972.02,1333.03
15,100,100,F,TS,36,46.44,65.92,86.84,188.92,171.64,170.16,287.85,460.85,529.79
15,163,163,F,TS,36,61.30,113.81,162.81,279.98,386.22,409.83,670.19,866.90,1153.41
15,176,176,F,TS,36,52.81,82.12,150.02,315.07,553.15,824.23,1481.18,1511.80,2153.17
15,178,178,F,TV-S,30,66.42,87.06,255.76,593.54,958.95,1415.33,2672.42,,
15,256,256,F,TS,36,86.93,132.37,136.48,237.54,296.59,660.85,1098.88,1242.62,1839.90
15,260,260,F,TS,36,47.12,85.61,112.56,135.45,162.90,211.77,274.18,408.26,604.24
15,268,268,F,TS,36,73.23,118.74,175.72,336.70,602.36,594.36,944.56,1567.51,1718.90
16,02,02,F,D,26,58.88,77.86,58.67,91.08,148.00,,,,
16,35,35,F,TS,36,60.18,85.01,141.02,135.64,239.72,306.24,548.48,651.52,828.02
16,41,41,F,D,18,81.86,113.01,45.01,,,,,,
16,63,63,F,TS,36,67.44,73.99,70.80,120.87,136.68,105.13,246.68,237.33,308.41
16,114,114,F,TS,36,53.13,81.61,32.93,56.95,32.25,121.00,196.24,258.72,389.51
16,138,138,F,TS,36,81.03,90.18,154.20,215.82,418.11,493.40,549.50,769.00,1078.65
16,153,153,F,TS,36,59.04,78.47,100.21,115.15,150.23,177.55,254.96,261.34,349.96
16,165,165,F,TS,36,69.00,103.02,104.21,146.59,229.57,201.90,371.10,460.26,531.57
16,189,189,F,TS,36,46.65,60.54,81.82,95.52,127.08,170.50,462.54,613.36,959.27
16,194,194,F,TS,36,46.89,66.60,51.74,58.87,98.25,93.16,188.99,216.86,297.32
17,23,23,F,TS,36,65.64,79.87,115.58,139.64,128.58,151.32,250.81,213.33,267.54
17,26,26,F,TS,36,52.69,53.21,73.61,84.54,108.26,99.27,170.01,161.19,236.88
17,93,93,F,TS,36,78.32,72.88,95.33,135.02,247.62,190.01,323.38,327.26,549.39
17,110,110,F,TS,36,46.81,103.79,148.59,175.84,293.82,259.00,465.78,434.44,450.54
17,164,164,F,TS,36,88.18,101.19,200.50,282.22,484.30,609.62,736.29,966.66,1179.76
17,197,197,F,TS,36,61.58,84.74,100.46,110.68,182.54,197.29,392.81,342.65,628.47
17,201,201,F,TS,36,57.38,97.15,107.93,177.69,207.56,427.40,566.35,857.15,1039.39
17,213,213,F,TS,36,54.62,108.82,162.50,153.06,338.31,323.14,547.17,798.74,1098.96
17,277,277,F,TS,36,72.39,95.79,134.43,173.29,235.04,398.79,613.68,653.25,942.06
17,295,295,F,TS,36,46.83,112.93,77.22,118.99,168.99,300.36,442.22,712.90,944.59
18,43,43,F,TS,37,56.77,81.57,163.05,307.61,304.96,474.35,776.83,1359.58,1787.87
18,105,105,F,TS,37,53.65,72.93,73.94,122.04,246.73,340.55,621.19,786.16,1028.15
18,139,139,F,TS,37,76.02,69.65,125.46,233.02,322.72,473.65,843.57,1531.87,2054.77
18,185,185,F,TS,37,70.03,71.60,142.02,219.30,514.10,892.69,1228.73,1493.29,1917.87
18,199,199,F,TS,37,56.72,56.92,108.58,226.47,471.00,551.92,1117.67,1531.69,1940.31
18,207,207,F,TS,37,63.29,73.25,171.36,293.89,458.42,916.40,1461.65,1888.18,2735.81
18,211,211,F,TV-S,30,67.26,80.70,218.59,456.38,1038.81,1431.42,2945.49,,
18,235,235,F,TV-S,30,63.11,71.75,139.60,286.28,816.73,902.93,2065.15,,
18,239,239,F,TS,37,59.28,56.49,100.09,193.24,258.36,395.64,551.12,697.55,1287.44
18,332,332,F,TS,37,62.85,51.55,53.26,140.10,274.28,345.54,651.57,855.34,2125.48
19,24,24,F,TV-S,34,71.38,85.72,118.55,338.96,468.44,920.13,1468.48,2300.50,
19,155,155,F,TS,37,61.41,74.19,103.72,310.91,473.76,725.10,791.96,1098.96,2034.57
19,188,188,F,TS,37,53.67,66.51,102.67,141.12,242.99,495.60,847.44,844.39,1297.03
19,195,195,F,TS,37,56.28,66.00,105.03,298.06,447.62,752.27,1112.70,1425.86,1692.14
